trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	0939579864		0939579864.sql	1999-10-10 18:24:24	0	0	0		19		82	19	0	82	0	0	0	0	0			82	0	0	82	0	82	
1	0939669579	0939579864.sql	0939669579.sql	1999-10-11 19:19:39	1	1	1	19	17	82	75	0	2	0	7	0	0	0	1	-2	-7	0	7	1	0	8	8	
2	0940867719	0939669579.sql	0940867719.sql	1999-10-25 16:08:39	14	1	1	17	18	75	83	1	0	6	0	2	0	5	0	1	8	8	0	5	8	5	13	
3	0942168743	0940867719.sql	0942168743.sql	1999-11-09 17:32:23	29	1	1	18	18	83	83	0	0	0	0	0	0	0	4	0	0	0	0	4	0	4	4	
4	0943365716	0942168743.sql	0943365716.sql	1999-11-23 14:01:56	43	1	2	18	18	83	83	0	0	0	0	4	4	0	0	0	0	4	4	0	4	4	8	
5	0943365844	0943365716.sql	0943365844.sql	1999-11-23 14:04:04	43	1	2	18	18	83	83	0	0	0	0	4	4	0	0	0	0	4	4	0	4	4	8	
6	0943366406	0943365844.sql	0943366406.sql	1999-11-23 14:13:26	43	1	2	18	18	83	83	0	0	0	0	6	6	0	0	0	0	6	6	0	6	6	12	
7	0947177076	0943366406.sql	0947177076.sql	2000-01-06 16:44:36	87	1	3	18	18	83	83	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
8	0947516385	0947177076.sql	0947516385.sql	2000-01-10 14:59:45	91	1	3	18	18	83	85	0	0	0	0	3	1	5	0	0	2	3	1	5	3	6	9	
9	0947517057	0947516385.sql	0947517057.sql	2000-01-10 15:10:57	91	1	3	18	20	85	93	2	0	8	0	0	0	0	0	2	8	8	0	0	8	0	8	
10	0947689078	0947517057.sql	0947689078.sql	2000-01-12 14:57:58	93	1	4	20	20	93	93	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
