Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
Xref	42	73	114	114	2001-04-04 14:16:02	2001-11-09 12:16:35	2	3	218	5	6	5.98	1.2	3	2	0.07	0.05	1.5	10	1	11
affy_array	38	214	251	251	2004-10-15 12:56:21	2006-02-23 17:08:58	6	7	496	4	4	4	1	0	0	0	0		10	0	10
affy_feature	38	214	251	251	2004-10-15 12:56:21	2006-02-23 17:08:58	6	7	496	9	8	8.05	0.89	1	1	0.03	0.03	1	10	1	11
affy_probe	38	214	251	251	2004-10-15 12:56:21	2006-02-23 17:08:58	6	7	496	4	4	4	1	1	1	0.03	0.03	1	10	1	11
alt_allele	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	2	3	2.36	1.5	7	3	0.02	0.01	2.33	20	1	21
alt_allele_attrib	67	460	-	526	2013-07-29 16:28:24	2017-01-30 14:35:11	14	18	1280	2	2	2	1	0	0	0	0		20	0	20
alt_allele_group	68	459	-	526	2013-07-24 16:24:17	2017-01-30 14:35:11	14	18	1285	1	1	1	1	0	0	0	0		20	0	20
analysis	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	7	14	12.47	2	22	11	0.04	0.02	2	20	1	21
analysis_description	308	219	-	526	2005-01-17 16:55:12	2017-01-30 14:35:11	6	18	4395	3	5	4.63	1.67	3	3	0.01	0.01	1	20	1	21
analysis_history	29	0	28	28	1999-10-10 18:24:24	2000-02-11 13:31:14	0	1	123	3	3	3	1	0	0	0	0		10	0	10
analysisprocess	51	64	114	114	2001-01-26 22:16:19	2001-11-09 12:16:35	2	3	286	14	14	14	1	4	3	0.08	0.06	1.33	10	1	11
assembly	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	11	7	7.9	0.64	22	4	0.05	0.01	5.5	20	1	21
assembly_contig	12	128	139	139	2002-06-27 17:00:35	2002-09-12 16:43:32	3	3	76	9	9	9	1	0	0	0	0		10	0	10
assembly_exception	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	9	9	9	1	7	2	0.02	0.01	3.5	20	1	21
assembly_locations	24	115	138	138	2002-01-12 16:32:34	2002-09-09 16:38:36	3	3	240	7	7	7	1	0	0	0	0		10	0	10
associated_group	75	452	-	526	2013-04-15 15:55:07	2017-01-30 14:35:11	14	18	1385	2	2	2	1	0	0	0	0		20	0	20
associated_xref	76	451	-	526	2013-04-15 15:48:32	2017-01-30 14:35:11	14	18	1385	5	7	6.95	1.4	5	1	0.07	0.01	5	20	1	21
attrib_type	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	4	4	4	1	1	1	0	0	1	20	1	21
chromosome	157	34	190	190	2000-04-19 15:13:34	2003-10-03 14:48:11	1	4	1261	4	3	5.79	0.75	12	6	0.08	0.04	2	10	1	11
clone	191	0	190	190	1999-10-10 18:24:24	2003-10-03 14:48:11	0	4	1453	4	8	8.11	2	15	8	0.08	0.04	1.88	10	1	11
contig	191	0	190	190	1999-10-10 18:24:24	2003-10-03 14:48:11	0	4	1453	8	6	7.81	0.75	24	9	0.13	0.05	2.67	10	2	12
contig_equiv	32	0	31	31	1999-10-10 18:24:24	2000-04-03 08:11:19	0	1	175	7	7	7	1	0	0	0	0		10	0	10
contig_landmarkMarker	29	76	106	106	2001-04-23 13:15:02	2001-10-10 12:48:32	2	2	169	3	7	6.03	2.33	4	1	0.14	0.03	4	10	1	11
contig_orientation	36	48	83	83	2000-07-13 11:20:59	2001-04-30 16:21:12	1	2	291	3	3	3	1	2	1	0.06	0.03	2	10	1	11
contigext	22	62	83	83	2001-01-25 09:20:55	2001-04-30 16:21:12	2	2	95	3	3	3	1	0	0	0	0		10	0	10
contigoverlap	53	31	83	83	2000-04-03 08:11:19	2001-04-30 16:21:12	1	2	392	9	7	7.04	0.78	11	4	0.21	0.08	2.75	10	2	12
coord_system	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	4	6	5.6	1.5	7	6	0.02	0.02	1.17	20	1	21
data_file	109	418	-	526	2011-09-30 10:06:18	2017-01-30 14:35:11	12	18	1949	8	8	8	1	4	2	0.04	0.02	2	20	1	21
db_update	56	28	83	83	2000-02-11 13:31:14	2001-04-30 16:21:12	1	2	444	16	16	16	1	0	0	0	0		10	0	10
density_feature	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	6	6	6	1	5	1	0.01	0	5	20	1	21
density_type	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	4	5	4.86	1.25	4	4	0.01	0.01	1	20	1	21
dependent_xref	186	341	-	526	2009-05-06 13:35:09	2017-01-30 14:35:11	10	18	2826	3	3	3	1	3	1	0.02	0.01	3	20	1	21
ditag	259	268	-	526	2006-06-28 08:40:54	2017-01-30 14:35:11	7	18	3869	5	5	5	1	2	2	0.01	0.01	1	20	1	21
ditag_feature	259	268	-	526	2006-06-28 08:40:54	2017-01-30 14:35:11	7	18	3869	13	13	13	1	3	3	0.01	0.01	1	20	1	21
dna	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	4	2	2.42	0.5	12	9	0.02	0.02	1.33	20	1	21
dna_align_feature	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	15	17	15.93	1.13	22	14	0.05	0.03	1.57	20	1	21
dna_align_feature_attrib	12	514	-	526	2016-06-24 11:34:07	2017-01-30 14:35:11	17	18	220	3	3	3	1	0	0	0	0		20	0	20
dnac	280	183	462	462	2003-07-14 13:29:37	2013-08-02 15:51:32	4	14	3672	4	3	3.03	0.75	4	2	0.01	0.01	2	10	1	11
dnafindex	1	0	0	0	1999-10-10 18:24:24	1999-10-10 18:24:24	0	0	0	3	3	3	1	0	0	0	0		10	0	10
dnafrag	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	3	3	3	1	0	0	0	0		10	0	10
exon	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	10	13	9.7	1.3	57	20	0.11	0.04	2.85	20	2	22
exon_feature	48	0	133	133	1999-10-10 18:24:24	2002-08-02 13:01:16	0	3	1026	2	3	2.4	1.5	0	0	0	0		10	0	10
exon_stable_id	318	99	416	416	2001-07-26 20:07:11	2011-09-27 13:13:26	2	12	3714	5	5	4.87	1	7	4	0.02	0.01	1.75	10	1	11
exon_transcript	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	3	3	3	1	7	3	0.01	0.01	2.33	20	1	21
externalDB	42	73	114	114	2001-04-04 14:16:02	2001-11-09 12:16:35	2	3	218	4	3	3.33	0.75	2	2	0.05	0.05	1	10	1	11
externalSynonym	42	73	114	114	2001-04-04 14:16:02	2001-11-09 12:16:35	2	3	218	2	2	2	1	1	1	0.02	0.02	1	10	1	11
external_db	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	3	10	8.35	3.33	57	45	0.14	0.11	1.27	20	2	22
external_synonym	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	2	2	2	1	2	2	0	0	1	20	1	21
feature	115	0	114	114	1999-10-10 18:24:24	2001-11-09 12:16:35	0	3	760	8	15	12.93	1.88	27	12	0.23	0.1	2.25	10	2	12
fset	115	0	114	114	1999-10-10 18:24:24	2001-11-09 12:16:35	0	3	760	2	2	2	1	3	3	0.03	0.03	1	10	1	11
fset_feature	115	0	114	114	1999-10-10 18:24:24	2001-11-09 12:16:35	0	3	760	3	3	3	1	3	3	0.03	0.03	1	10	1	11
gene	527	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	4	17	10.57	4.25	50	26	0.09	0.05	1.92	20	1	21
gene_archive	349	178	-	526	2003-05-21 09:25:37	2017-01-30 14:35:11	4	18	5003	7	8	7.81	1.14	6	3	0.02	0.01	2	20	1	21
gene_attrib	281	246	-	526	2006-01-16 12:35:14	2017-01-30 14:35:11	7	18	4032	3	3	3	1	1	1	0	0	1	20	1	21
gene_denormalised_location	1	71	71	71	2001-04-01 14:15:39	2001-04-01 14:15:39	2	2	0	4	4	4	1	0	0	0	0		10	0	10
gene_description	158	67	224	224	2001-02-13 19:07:26	2005-04-05 18:43:08	2	6	1511	2	2	2	1	2	2	0.01	0.01	1	10	1	11
gene_stable_id	318	99	416	416	2001-07-26 20:07:11	2011-09-27 13:13:26	2	12	3714	5	5	4.87	1	6	3	0.02	0.01	2	10	1	11
geneclone_neighbourhood	35	13	47	47	2000-01-13 15:16:37	2000-06-23 19:03:38	1	1	162	2	2	2	1	0	0	0	0		10	0	10
genedblink	46	38	83	83	2000-05-30 11:06:32	2001-04-30 16:21:12	1	2	335	3	3	3	1	0	0	0	0		10	0	10
genetype	48	51	98	98	2000-09-01 11:15:01	2001-07-18 14:23:56	1	2	320	2	2	2	1	1	1	0.02	0.02	1	10	1	11
genome_statistics	58	469	-	526	2013-12-05 17:12:34	2017-01-30 14:35:11	15	18	1151	6	6	6	1	1	1	0.02	0.02	1	20	1	21
genomic_align_block	19	69	87	87	2001-03-06 20:37:08	2001-06-08 09:51:30	2	2	93	8	8	8	1	0	0	0	0		10	0	10
ghost	75	9	83	83	2000-01-10 15:10:57	2001-04-30 16:21:12	1	2	476	4	5	4.93	1.25	8	4	0.11	0.05	2	10	2	12
go_xref	190	181	370	370	2003-06-10 09:24:02	2010-08-25 13:43:19	4	11	2633	2	3	2.36	1.5	10	9	0.05	0.05	1.11	10	1	11
homol_feature	18	0	17	17	1999-10-10 18:24:24	2000-01-15 17:31:03	0	1	96	4	4	4	1	1	1	0.06	0.06	1	10	1	11
identityXref	23	92	114	114	2001-06-19 15:40:56	2001-11-09 12:16:35	2	3	142	3	3	3	1	1	1	0.04	0.04	1	10	1	11
identity_xref	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	3	10	9.12	3.33	32	8	0.08	0.02	4	20	1	21
interpro	469	58	-	526	2000-11-17 16:22:04	2017-01-30 14:35:11	2	18	5917	2	2	2	1	1	2	0	0	0.5	20	1	21
interpro_description	54	61	114	114	2001-01-18 14:56:42	2001-11-09 12:16:35	2	3	294	2	3	2.74	1.5	1	1	0.02	0.02	1	10	1	11
intron_supporting_evidence	98	429	-	526	2012-03-02 09:14:19	2017-01-30 14:35:11	13	18	1795	6	10	9.77	1.67	8	2	0.08	0.02	4	20	1	21
karyotype	461	65	-	526	2001-02-04 17:16:51	2017-01-30 14:35:11	2	18	5838	5	6	5.73	1.2	13	4	0.03	0.01	3.25	20	1	21
landmarkMarker	2	107	108	108	2001-10-11 14:59:49	2001-10-11 15:06:36	3	3	0	6	6	6	1	0	0	0	0		10	0	10
landmark_marker	30	109	138	138	2001-10-11 15:25:06	2002-09-09 16:38:36	3	3	333	6	6	6	1	2	1	0.07	0.03	2	10	1	11
map	368	159	-	526	2003-01-29 11:56:23	2017-01-30 14:35:11	4	18	5115	2	2	2	1	1	1	0	0	1	20	1	21
map_density	115	77	191	191	2001-04-23 14:07:20	2004-01-09 13:50:02	2	5	990	5	5	5	1	12	5	0.1	0.04	2.4	10	2	12
mapannotation	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	4	4	4	1	0	0	0	0		10	0	10
mapannotationtype	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	4	4	4	1	0	0	0	0		10	0	10
mapbin	34	0	33	33	1999-10-10 18:24:24	2000-04-11 18:13:39	0	1	183	2	2	2	1	0	0	0	0		10	0	10
mapfrag	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	7	7	7	1	1	1	0.02	0.02	1	10	1	11
mapfrag_mapset	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	2	2	2	1	0	0	0	0		10	0	10
mapping_session	350	177	-	526	2003-04-30 16:24:33	2017-01-30 14:35:11	4	18	5023	5	8	7.12	1.6	10	4	0.03	0.01	2.5	20	1	21
mapping_set	206	321	-	526	2008-07-10 10:14:21	2017-01-30 14:35:11	9	18	3126	2	3	2.41	1.5	4	1	0.02	0	4	20	1	21
mapset	63	128	190	190	2002-06-27 17:00:35	2003-10-03 14:48:11	3	4	462	4	5	4.7	1.25	1	1	0.02	0.02	1	10	1	11
marker	368	159	-	526	2003-01-29 11:56:23	2017-01-30 14:35:11	4	18	5115	7	8	8	1.14	3	2	0.01	0.01	1.5	20	1	21
marker_feature	368	159	-	526	2003-01-29 11:56:23	2017-01-30 14:35:11	4	18	5115	8	7	7.01	0.88	10	4	0.03	0.01	2.5	20	1	21
marker_map_location	368	159	-	526	2003-01-29 11:56:23	2017-01-30 14:35:11	4	18	5115	6	6	6	1	5	2	0.01	0.01	2.5	20	1	21
marker_synonym	368	159	-	526	2003-01-29 11:56:23	2017-01-30 14:35:11	4	18	5115	4	4	4	1	3	2	0.01	0.01	1.5	20	1	21
meta	517	0	-	526	1999-10-10 18:24:24	2017-01-30 14:35:11	0	18	6321	4	4	3.43	1	8	8	0.02	0.02	1	20	1	21
meta_coord	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	2	3	2.95	1.5	2	2	0.01	0.01	1	20	1	21
misc_attrib	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	3	3	3	1	1	1	0	0	1	20	1	21
misc_feature	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	5	5	5	1	0	0	0	0		20	0	20
misc_feature_misc_set	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	2	2	2	1	0	0	0	0		20	0	20
misc_set	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	5	5	5	1	1	1	0	0	1	20	1	21
objectXref	42	73	114	114	2001-04-04 14:16:02	2001-11-09 12:16:35	2	3	218	3	4	3.55	1.33	4	2	0.1	0.05	2	10	1	11
object_xref	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	4	6	5	1.5	10	9	0.02	0.02	1.11	20	1	21
oligo_array	98	252	349	349	2006-03-06 15:47:13	2009-07-30 13:58:32	7	10	1241	5	5	5	1	2	1	0.02	0.01	2	10	1	11
oligo_feature	98	252	349	349	2006-03-06 15:47:13	2009-07-30 13:58:32	7	10	1241	8	8	8	1	7	3	0.07	0.03	2.33	10	1	11
oligo_probe	98	252	349	349	2006-03-06 15:47:13	2009-07-30 13:58:32	7	10	1241	6	6	6	1	3	2	0.03	0.02	1.5	10	1	11
ontology_xref	156	371	-	526	2010-08-25 13:53:30	2017-01-30 14:35:11	11	18	2350	3	3	3	1	1	1	0.01	0.01	1	20	1	21
operon	122	405	-	526	2011-07-13 10:58:06	2017-01-30 14:35:11	12	18	2028	7	11	10.61	1.57	4	1	0.03	0.01	4	20	1	21
operon_stable_id	12	405	416	416	2011-07-13 10:58:06	2011-09-27 13:13:26	12	12	76	5	5	5	1	0	0	0	0		10	0	10
operon_transcript	122	405	-	526	2011-07-13 10:58:06	2017-01-30 14:35:11	12	18	2028	8	12	11.61	1.5	4	1	0.03	0.01	4	20	1	21
operon_transcript_gene	122	405	-	526	2011-07-13 10:58:06	2017-01-30 14:35:11	12	18	2028	2	2	2	1	0	0	0	0		20	0	20
operon_transcript_stable_id	12	405	416	416	2011-07-13 10:58:06	2011-09-27 13:13:26	12	12	76	5	5	5	1	0	0	0	0		10	0	10
peptide_archive	349	178	-	526	2003-05-21 09:25:37	2017-01-30 14:35:11	4	18	5003	3	3	3	1	7	4	0.02	0.01	1.75	20	1	21
peptide_regulatory_feature	5	223	227	227	2005-03-24 10:12:51	2005-05-31 09:58:29	6	6	67	2	2	2	1	0	0	0	0		10	0	10
peptide_regulatory_region	1	221	221	221	2005-02-24 14:37:36	2005-02-24 14:37:36	6	6	0	2	2	2	1	0	0	0	0		10	0	10
prediction_exon	336	191	-	526	2004-01-09 13:50:02	2017-01-30 14:35:11	5	18	4770	10	10	10	1	5	1	0.01	0	5	20	1	21
prediction_transcript	402	125	-	526	2002-03-11 13:59:53	2017-01-30 14:35:11	3	18	5439	11	7	7.61	0.64	20	5	0.05	0.01	4	20	1	21
protein_align_feature	412	115	-	526	2002-01-12 16:32:34	2017-01-30 14:35:11	3	18	5496	13	15	14.06	1.15	16	8	0.04	0.02	2	20	1	21
protein_feature	470	57	-	526	2000-11-09 17:22:36	2017-01-30 14:35:11	2	18	5925	9	13	11.6	1.44	25	8	0.05	0.02	3.12	20	1	21
qtl	293	171	463	463	2003-03-14 11:16:57	2013-08-27 14:43:40	4	14	3819	8	6	6.01	0.75	6	2	0.02	0.01	3	10	1	11
qtl_feature	293	171	463	463	2003-03-14 11:16:57	2013-08-27 14:43:40	4	14	3819	5	5	5	1	12	4	0.04	0.01	3	10	1	11
qtl_synonym	291	173	463	463	2003-04-09 12:00:18	2013-08-27 14:43:40	4	14	3793	4	4	4	1	2	1	0.01	0	2	10	1	11
regulatory_factor	86	228	313	313	2005-06-16 12:45:07	2008-01-24 09:40:47	6	9	951	3	3	3	1	1	1	0.01	0.01	1	10	1	11
regulatory_factor_coding	84	230	313	313	2005-09-07 11:53:27	2008-01-24 09:40:47	6	9	868	3	3	3	1	3	1	0.04	0.01	3	10	1	11
regulatory_factor_transcript	2	228	229	229	2005-06-16 12:45:07	2005-08-02 08:01:27	6	6	46	2	2	2	1	0	0	0	0		10	0	10
regulatory_feature	91	223	313	313	2005-03-24 10:12:51	2008-01-24 09:40:47	6	9	1035	9	8	8.05	0.89	10	4	0.11	0.04	2.5	10	2	12
regulatory_feature_object	91	223	313	313	2005-03-24 10:12:51	2008-01-24 09:40:47	6	9	1035	3	5	4.89	1.67	4	2	0.04	0.02	2	10	1	11
regulatory_motif	6	221	227	227	2005-02-24 14:37:36	2005-05-31 09:58:29	6	6	95	2	3	2.83	1.5	0	0	0	0		10	0	10
