Dataset	#Entities	#TimeBeats	#Cells	#NonEmptyCells	#EmptyCells	ConversionTime(nanoSecs)
3ev__tev_label	2	4	8	0.125	0.875	128,973,600
AA-ALERT__frbcatdb	16	16	256	0.176	0.824	22,530,700
accgit__acl	7	17	119	0.092	0.908	7,651,800
aimeos__aimeos-typo3	3	6	18	0.222	0.778	7,661,800
aiyi__go-user	6	10	60	0.483	0.517	9,009,800
alextselegidis__easyappointments	11	19	209	0.072	0.928	8,286,900
anchorcms__anchor-cms	20	17	340	0.024	0.976	9,342,100
ankitjain28may__registration-module	2	2	4	0.25	0.75	8,978,800
APTrust__exchange	3	2	6	0.333	0.667	4,318,500
archan937__cached_record	5	5	25	0.08	0.92	4,616,900
arnoldasgudas__Hangfire.MySqlStorage	24	15	360	0.05	0.95	15,476,100
atomjump__loop-server	10	8	80	0.013	0.988	4,957,900
Attendly__maillist	7	9	63	0.159	0.841	5,376,600
azzlack__Sentinel.OAuth	3	3	9	0	1	2,448,800
benoitletondor__TwitterBot	4	10	40	0.15	0.85	4,954,500
bgentry__que-go	1	3	3	0	1	3,766,500
blabla1337__skf-flask	25	45	1,125	0.028	0.972	12,517,400
blueriver__MuraCMS	41	5	205	0.005	0.995	10,739,100
BotBotMe__botbot-bot	3	2	6	0.5	0.5	4,322,500
brettkromkamp__topic_db	15	16	240	0.079	0.921	8,581,300
builderscon__octav	27	74	1,998	0.019	0.981	10,431,200
byteball__byteballcore	68	12	816	0.022	0.978	6,370,200
cartalyst__sentry	5	13	65	0.154	0.846	4,228,700
cgrates__cgrates	40	190	7,600	0.032	0.968	39,334,600
chill117__express-mysql-session	1	2	2	0.5	0.5	3,800,500
CityGrid__twonicorn	23	9	207	0.063	0.937	6,931,500
colbygk__ARS	2	8	16	0.062	0.938	3,252,700
comforme__comforme	8	21	168	0.03	0.97	4,095,500
conceptsandtraining__libtree	2	3	6	0.333	0.667	3,022,600
curt-labs__GoSurvey	11	7	77	0.117	0.883	4,310,700
damnpoet__yiicart	109	7	763	0	1	5,826,300
dburry__indexed_search	9	4	36	0.056	0.944	3,711,400
DevMine__repotool	2	4	8	0.125	0.875	2,826,400
devture__silex-user-bundle	2	2	4	0	1	3,148,900
dlds__yii2-mlm	5	4	20	0.5	0.5	4,535,900
dneustadt__majima	3	2	6	0	1	2,601,200
dotkernel__frontend	6	4	24	0	1	3,197,700
duythien__blog	15	4	60	0.017	0.983	3,660,800
eldersantos__winston-postgre	1	4	4	0.75	0.25	3,165,000
energine-cmf__energine	65	29	1,885	0.014	0.986	9,405,400
enova__landable	59	24	1,416	0.02	0.98	8,409,300
enova__prodder	5	3	15	0	1	2,797,400
Ensembl	153	527	80,631	0.006	0.994	91,140,200
EPICPaaS__appmsgsrv	24	24	576	0.024	0.976	7,449,400
EricDepagne__Astrodb	6	2	12	0.167	0.833	3,231,200
etsy__mixer	7	2	14	0.071	0.929	4,472,500
fastpress__fastpress	5	2	10	0.2	0.8	2,715,500
flynn__flynn-subdomainer	1	2	2	0.5	0.5	3,018,300
foodcoopshop__foodcoopshop	41	67	2,747	0.025	0.975	8,923,700
gem__oq-engine	49	9	441	0.005	0.995	5,399,900
georgringer__logging	1	4	4	0.5	0.5	2,450,900
GoBelieveIO__im_service	16	9	144	0.042	0.958	4,690,000
goproj__note	2	2	4	0	1	2,934,200
gousiosg__github-mirror	23	14	322	0.019	0.981	4,775,900
guardian__alerta	9	13	117	0.009	0.991	4,565,500
gugoan__economizzer	19	12	228	0.022	0.978	4,791,800
h2oai__steam	24	10	240	0.208	0.792	6,444,800
HaliteChallenge__Halite-II	33	50	1,650	0.055	0.945	11,242,900
hugodias__cakegallery	2	2	4	0.25	0.75	3,540,400
hurad__hurad	28	15	420	0.052	0.948	4,829,200
HXLStandard__hxl-proxy	2	3	6	0	1	2,215,500
IamBc__abc	6	14	84	0.083	0.917	2,654,700
ichthus-soft__bible-api	1	2	2	0	1	1,913,400
imbo__imbo	6	10	60	0.267	0.733	2,753,900
imsamurai__cakephp-task-plugin	3	10	30	0.167	0.833	2,101,000
intelliants__subrion	56	266	14,896	0.006	0.994	13,701,000
ironsmile__httpms	3	4	12	0.167	0.833	2,324,200
jadekler__git-go-d3-concertsap	8	8	64	0.031	0.969	2,330,600
jalkoby__squasher	5	2	10	0	1	1,521,400
jaredbeck__paper_trail-sinatra	2	3	6	0.167	0.833	1,663,000
jasdel__harvester	8	12	96	0.167	0.833	2,626,500
jasongrimes__silex-simpleuser	2	6	12	0.167	0.833	2,227,300
jaybennett89__thorium-go	9	7	63	0.016	0.984	2,742,200
jcoppieters__cody	10	13	130	0.015	0.985	2,484,800
jessemillar__stalks	4	2	8	0.25	0.75	2,132,300
jgauffin__griffin.mvccontrib	2	2	4	0	1	2,024,700
jingweno__jqplay	1	2	2	0.5	0.5	1,632,600
jmcneese__bitmasked	1	2	2	0	1	1,763,200
joomlatools__joomla-platform	113	18	2,034	0.003	0.997	8,753,500
joomlatools__joomla-platform-categories	1	2	2	0.5	0.5	2,069,400
joomlatools__joomla-platform-content	5	9	45	0.067	0.933	2,289,300
joomlatools__joomla-platform-finder	25	3	75	0.067	0.933	3,940,800
josephspurrier__gowebapp	3	3	9	0	1	2,246,900
joyplus__o2oadmin	13	10	130	0.008	0.992	4,846,800
JRonak__OnlineJudge	6	3	18	0.056	0.944	2,816,500
keybase__node-client	5	7	35	0.057	0.943	3,175,500
knightliao__disconf	6	2	12	0	1	2,730,700
kronusme__dota2-api	13	15	195	0.072	0.928	3,148,400
lamassu__lamassu-admin	7	18	126	0.087	0.913	2,194,600
lamassu__lamassu-scripts	7	16	112	0.027	0.973	2,808,100
leapp-to__prototype	6	4	24	0.042	0.958	1,974,400
leighmacdonald__php_rbac	4	2	8	0	1	1,617,500
lisong__code-push-server	13	7	91	0.088	0.912	5,009,500
liujianping__scaffold	6	3	18	0	1	3,811,500
magikcypress__slim-boot-boilerplate	2	4	8	0	1	2,916,900
magnus-lycka__gocddash	11	3	33	0.212	0.788	5,174,400
mapbox__node-mbtiles	7	3	21	0	1	3,644,600
mapbox__osm-comments-parser	7	13	91	0.088	0.912	2,903,600
marmelab__comfygure	6	2	12	0	1	3,108,600
marssa__footprint	3	3	9	0	1	2,782,900
matthewfranglen__postgres-elasticsearch-fdw	1	4	4	0	1	2,109,100
mattinsler__work-it	4	4	16	0.062	0.938	2,449,600
mbilbille__jpnforphp	1	2	2	0	1	2,372,500
MDSLab__s4t-iotronic-standalone	43	26	1,118	0.028	0.972	4,568,400
mem__padron	8	2	16	0.125	0.875	4,094,300
mgilangjanuar__slimedoo	1	2	2	0.5	0.5	2,823,900
milogert__ocdns	7	9	63	0.143	0.857	3,096,500
MorpheusXAUT__eveauth	13	16	208	0.067	0.933	2,952,200
mozilla-services__autograph	2	4	8	0.125	0.875	2,180,100
mozilla-services__go-bouncer	29	4	116	0.017	0.983	5,040,600
mozilla__ichnaea	48	2	96	0	1	3,607,900
mozilla__mig	13	31	403	0.035	0.965	3,522,900
mozilla__tls-observatory	4	43	172	0.14	0.86	3,757,100
mukatee__pypro	9	4	36	0.222	0.778	4,288,500
n2n__page	8	7	56	0	1	1,972,300
n2n__rocket	15	7	105	0.095	0.905	2,165,200
nats-io__nats-streaming-server	7	9	63	0.079	0.921	1,822,500
nawork__nawork-uri	5	26	130	0.162	0.838	2,319,400
neocogent__sqlchain	9	8	72	0.139	0.861	2,377,000
neos__flow-development-collection	2	4	8	0.375	0.625	2,120,500
nooku__joomla-todo	5	9	45	0	1	3,821,600
NPRA__EmissionCalculatorLib	38	6	228	0.004	0.996	3,296,000
opencart__opencart	283	516	146,028	0.003	0.997	42,410,300
openzipkin__zipkin	3	5	15	0.067	0.933	2,223,000
outbrain__orchestrator	1	3	3	0	1	2,409,800
pinterest__teletraan	40	52	2,080	0.037	0.963	7,007,700
pods-framework__pods	27	44	1,188	0.04	0.96	4,646,600
portrino__px_hybrid_auth	2	2	4	0	1	1,642,100
processone__ejabberd	42	14	588	0.007	0.993	2,648,800
prooph__pdo-snapshot-store	1	3	3	0	1	2,176,500
protosam__hostcontrol	12	7	84	0	1	2,476,100
purefn__hipbot	1	2	2	0.5	0.5	2,321,200
pw-press__web-project	15	11	165	0.055	0.945	2,887,300
quickapps__cms	32	27	864	0.01	0.99	3,633,200
ranaroussi__qtpylib	6	5	30	0.1	0.9	2,637,200
remind101__empire	11	2	22	0.045	0.955	2,263,000
RichMercer__ContentMetadata	1	3	3	0	1	2,014,000
rill-event-sourcing__rill	2	2	4	0	1	1,990,800
RiotingNerds__sails-hook-audittrail	1	2	2	0	1	2,363,700
rogeriopvl__nodo	2	3	6	0	1	2,257,800
rolfvreijdenberger__izzum-statemachine	5	6	30	0.067	0.933	2,400,000
royzhao__prot-coderun	5	2	10	0.1	0.9	1,945,800
RubyMoney__money-rails	5	3	15	0.133	0.867	1,663,700
rvadym__languages	2	2	4	0.25	0.75	1,920,100
